,Is Automatically Applied:,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Cash Register,7,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,,,Heavy-Weight,,,High-Value,,Metal,,,,,,,,,,,
Chemical Jug,5,,Scrap,Non-Interactable,,,,,,Two-Handed,,,Medium-Weight,,,Medium-Value,,,,,,,,,,,,,,
Clock,7,,Scrap,Non-Interactable,,,,,One-Handed,,Noisy,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,,,
Clown Horn,9,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,Noisy,Light-Weight,,,,Medium-Value,,Household,Metal,,,,,,,,,,,
Comedy,6,,Scrap,,Interactable,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,Harmful,,,,,,,,,,
Control Pad,8,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,,Medium-Weight,,,Medium-Value,,Household,Metal,,,,,,,,,,,
Cookie Mold Pan,7,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,,Medium-Weight,,,,,Household,Metal,,,,,,,,,,,
DIY-Flashbang,9,,Scrap,,Interactable,,,Tool,One-Handed,,,Light-Weight,,,Low-Value,,,,,Harmful,Weapon,Consumable,,,,,,,,
Dust Pan,7,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,Metal,,,,,,,,,,,
Easter Egg,9,,Scrap,,Interactable,,,Tool,One-Handed,,,Light-Weight,,,Low-Value,,,,,,Weapon,Consumable,,,,,,Natural,,
Egg Beater,8,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,Metal,,,,,,,,,,,
Extension Ladder,8,Buyable,,,Interactable,Conductive,,Tool,One-Handed,,,Light-Weight,,,,,,,,Harmful,,,,,Transportation,,,,,
Fancy Lamp,8,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,,Medium-Weight,,,Medium-Value,,Household,,,,,,Luminescent,,,,,,
Flashlight,7,Buyable,,,Interactable,,Chargable,Tool,One-Handed,,,Light-Weight,,,,,,,,,,,,Luminescent,,,,,,
Flask,5,,Scrap,Non-Interactable,,,,,One-Handed,,,,Medium-Weight,,Low-Value,,,,,,,,,,,,,,,
Garbage Lid,8,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,Light-Weight,,,,Medium-Value,,Household,Metal,,,,,,,,,,,
Gift Box,5,,Scrap,Non-Interactable,,,,,One-Handed,,,,Medium-Weight,,Low-Value,,,,,,,,,,,,,,,
Gold Bar,7,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,,,Heavy-Weight,,,High-Value,,Metal,,,,,,,,,,,
Golden Cup,6,,Scrap,Non-Interactable,,,,,One-Handed,,,,Medium-Weight,,Low-Value,,,,Metal,,,,,,,,,,,
Gun Ammo,7,,,Non-Interactable,,,,,,,,Light-Weight,,,Low-Value,,,,,Harmful,Weapon,Consumable,,,,,,,Beast Byproduct,
Hairdryer,7,,Scrap,,Interactable,,,,One-Handed,,Noisy,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Hive,9,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,Light-Weight,,,,Medium-Value,,,,Harmful,,,,,,,,Natural,Beast Byproduct,
Jar Of Pickles,7,,Scrap,Non-Interactable,,,,,One-Handed,,,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,Natural,,
Jetpack,9,Buyable,,,Interactable,Conductive,Chargable,Tool,One-Handed,,,,,Heavy-Weight,,,,,,Harmful,,,,,Transportation,,,,,
Key,8,,,,Interactable,Conductive,,,One-Handed,,,Light-Weight,,,Low-Value,,,,Metal,,,Consumable,,,Transportation,,,,,
Knife,10,,,,Interactable,Conductive,,Tool,One-Handed,,,,Medium-Weight,,,Medium-Value,,,Metal,Harmful,Weapon,,,,,,,,Beast Byproduct,
Large Axle,8,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,,Medium-Weight,,,Medium-Value,,,Metal,,,,Machine Part,,,,,,,
Laser Pointer,7,,Scrap,,Interactable,,,Tool,,,,Light-Weight,,,,Medium-Value,,Household,,,,,,Luminescent,,,,,,
Lockpicker,6,Buyable,,,Interactable,,,Tool,One-Handed,,,,Medium-Weight,,,,,,,,,,,,Transportation,,,,,
Magic 7 Ball,6,,Scrap,Non-Interactable,,,,,One-Handed,,,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,,,
Magnifying Glass,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Metal Sheet,7,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,,Medium-Weight,,Low-Value,,,,Metal,,,,,,,,,,,
Mug,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Old Phone,7,,Scrap,Non-Interactable,,,,,One-Handed,,Noisy,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Painting,6,,Scrap,Non-Interactable,,,,,,Two-Handed,,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,,,
Perfume Bottle,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Pill Bottle,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
Plastic Fish,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
Pro-Flashlight,7,Buyable,,,Interactable,,Chargable,Tool,One-Handed,,,Light-Weight,,,,,,,,,,,,Luminescent,,,,,,
Radar Booster,7,Buyable,,,Interactable,Conductive,,Tool,One-Handed,,,,Medium-Weight,,,,,,,,,,,,,Communicative,,,,
Red Soda,8,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,Light-Weight,,,,Medium-Value,,Household,Metal,,,,,,,,,,,
Remote,7,,Scrap,,Interactable,,,Tool,One-Handed,,,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
Ring,7,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,,,
Robot Toy,8,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,Noisy,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,,,
Rubber Ducky,7,,Scrap,Non-Interactable,,,,,One-Handed,,Noisy,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Severed Bone,7,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,,,,,,,,,Natural,,Body Part
Severed Bone Rib,7,,Scrap,Non-Interactable,,,,,,Two-Handed,,Light-Weight,,,Low-Value,,,,,,,,,,,,,Natural,,Body Part
Severed Ear,7,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,,,,,,,,,Natural,,Body Part
Severed Foot,7,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,,,,,,,,,Natural,,Body Part
Severed Hand,7,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,,,,,,,,,Natural,,Body Part
Severed Heart,8,,Scrap,Non-Interactable,,,,,,Two-Handed,Noisy,,Medium-Weight,,,Medium-Value,,,,,,,,,,,,Natural,,Body Part
Severed Thigh,7,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,,,,,,,,,Natural,,Body Part
Severed Tongue,6,,Scrap,Non-Interactable,,,,,One-Handed,,,,,,Low-Value,,,,,,,,,,,,,Natural,,Body Part
Shotgun,7,,Scrap,,Interactable,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,Harmful,Weapon,,,,,,,,,
Shovel,8,Buyable,,,Interactable,Conductive,,Tool,One-Handed,,,Light-Weight,,,,,,,,Harmful,Weapon,,,,,,,,,
Soccer Ball,6,,Scrap,Non-Interactable,,,,,,Two-Handed,,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,,,
Spray-Paint,7,Buyable,,,Interactable,,,Tool,One-Handed,,,Light-Weight,,,,,,,,,,Consumable,,,,Communicative,,,,
Steering Wheel,7,,Scrap,Non-Interactable,,,,,One-Handed,,,,Medium-Weight,,Low-Value,,,,Metal,,,,Machine Part,,,,,,,
Stop Sign,10,,Scrap,,Interactable,Conductive,,Tool,One-Handed,,,,Medium-Weight,,Low-Value,,,,Metal,Harmful,Weapon,,,,,,,,,
Stun Grenade,7,Buyable,,,Interactable,,,Tool,One-Handed,,,Light-Weight,,,,,,,,,Weapon,Consumable,,,,,,,,
Tea Kettle,8,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,,Medium-Weight,,,Medium-Value,,Household,Metal,,,,,,,,,,,
Teeth,7,,Scrap,Non-Interactable,,,,,One-Handed,,Noisy,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Toilet Paper,6,,Scrap,Non-Interactable,,,,,,Two-Handed,,Light-Weight,,,,Medium-Value,,Household,,,,,,,,,,,,
Toothpaste,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
Toy Cube,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
Toy Train,6,,Scrap,Non-Interactable,,,,,One-Handed,,,,Medium-Weight,,,Medium-Value,,Household,,,,,,,,,,,,
Tragedy,6,,Scrap,,Interactable,,,,One-Handed,,,Light-Weight,,,Low-Value,,,,,Harmful,,,,,,,,,,
TZP-Inhalant,7,Buyable,,,Interactable,Conductive,,Tool,One-Handed,,,Light-Weight,,,,,,,,,,Consumable,,,,,,,,
V-Type Engine,8,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,,Medium-Weight,,Low-Value,,,,Metal,,,,Machine Part,,,,,,,
Walkie-Talkie,7,Buyable,,,Interactable,,Chargable,Tool,One-Handed,,,Light-Weight,,,,,,,,,,,,,,Communicative,,,,
Weed Killer,6,Buyable,,,Interactable,,,Tool,One-Handed,,,Light-Weight,,,,,,,,,,Consumable,,,,,,,,
Whoopie Cushion,7,,Scrap,Non-Interactable,,,,,One-Handed,,Noisy,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
Yield Sign,10,,Scrap,,Interactable,Conductive,,Tool,One-Handed,,,,Medium-Weight,,Low-Value,,,,Metal,Harmful,Weapon,,,,,,,,,
Zap Gun,9,Buyable,,,Interactable,Conductive,Chargable,Tool,One-Handed,,,Light-Weight,,,,,,,,Harmful,Weapon,,,,,,,,,
Zed Dog,7,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,Light-Weight,,,,,High-Value,Household,,,,,,,,,,,,
